Title,View
"
      Last messages are sometimes not shown in the chat
    ","This is a really annoying and serious bug.  For some users (chats)  the last messages of the chat are not shown in the those chats (incoming and outcoming), like they were deleted (but actually, there…"
"
      Reaction is not shown beneath a live location message in a personal chat
    ","Steps to reproduce 1. In a personal chat, tap on the attachment icon > Location > Send my current location 2. Once the live location is sent, react on it Current result The reacted emoji is not beneath…"
"
      Voicechat or videochat!! Error in links
    ",Share link of voice chat coming with videochat and not working to entering voice chat it just open the group or channel I need rewriting the link with sharing Please fix it. Steps to reproduce Share link…
"
      Missing online member count in groups
    ",The online member count in a group is missing in the latest version of Telegram Desktop. Steps to reproduce 1. Go to any public group. 2. See below the group name. 3. The online member count is missing.…
"
      Swiping ""Back"" on submenus in Settings does not return to the previous menu, but further than it needs to go.
    ","When swiping ""Back"" using the touchpad on Chromebook\Laptops\etc, the ""Back"" does not properly go back in the Settings menu. Instead, it returns you to the chat list \ skips the first layer of going ""Backwards.""…"
"
      Bubbles in Telegram are broken in Android 12+ on Pixel devices.
    ","Tapping on a notification that comes from a priority chat closes the notification tray again, but doesn't open the notification. Steps to reproduce 1. Create a priority chat in Android 12 and higher (in…"
"
      Cannot delete more then 2 mesages
    ",I cannot delete more then 1 message. Please help. Some bug. And if it is possible please do chat messages delete button Steps to reproduce I trying to delete 2 or more messages and it do not work Device…
"
      Choosing sticker status when switching group chats
    ","When I switch chats or group chats, people see my ""choosing sticker"" current status, but I am not and stickers panel is always closed. Every active chat switch triggers the ""choosing sticker"". Steps to…"
"
      hdpi resize problem
    ",Desktop Windows Telegram cannot switch display DPI properly. Requires kill and restart Steps to reproduce 1. Start Telegram in remote desktop in Windows on a HDPI monitor like 4K 2. Then connect locally…
"
      UI stops responding (system apps to close it) when touching a specific message with flags
    ",Telegram android crashes when touching a specific message. Steps to reproduce 1. Go to any chat . 2. Send this message: 🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳🇺🇳 @_message 3. Touch one of the flags. 4. The app crashes!…
"
      Specific Emoji arrangment causes a crash in android
    ","There is a specific Flag emoji combination which crashes the app on Android clients, the client will hang and will not respond until the app is closed and opened again. I've put the message in a chan…"
"
      Formatted text (bold, italic, spoiler, etc) sent while being offline is sent as regular text if the app is restarted before going online
    ",Steps to reproduce 1. Disable internet 2. Send a message with formatting 3. Restart the app 4. Enable internet Current result Message is sent using the applied format Expected result Message is sent as…
"
      Can't edit old channel posts in Web K
    ",Web K interface does not allow editing old posts in channels. It allows doing it only for a brief time after the post is published. Web Z and Android interfaces do not have this problem and allow editing…
"
      Blank lines can occur or disappear randomly in the message after being submitted.
    ","When I type multiline message and then send, I see that this sent message is not the same as I just typed. New unintended blank lines may occur randomly and some intended blank lines may dissapear randomly.…"
"
      The animations are a bit laggy
    ","The animations are a bit laggy Steps to reproduce Open the webz edition Try to change folders by sliding Animations lag Device info Telegram Web 1.28.6 Z, Chrome 98"
"
      Vi network problem
    ",When we use vi internet telegram stop working no downloads and messages also not working on vi network Steps to reproduce 1. Get a vi network internet 2. Go to any public group 3. Start downloading any…
"
      Anonymous Viewers Can Gain Contact Access to Other Subscribers/Viewers in a Public Channel Live Stream
    ",Anonymous Viewers Can Gain Contact Access to Other Subscribers/Viewers in a Public Channel Live Stream Steps to reproduce 1. Look for any Public Channel currently streaming 2. Join the live stream (you…
"
      Incomplete 'Nobody seen' String on Android
    ","This string is not showing correctly: https://translations.telegram.org/en/android/unsorted/NobodyViewed Steps to reproduce 1. Forward a message (from a channel, in this case) to a (private) group. 2.…"
"
      Sound is corrupted (creak, clang instead of voice) in audio chat (group chat) when I use wireless phones 
    ","Sound is good for first time when I join audio chat. But after some time it is get corrupted  (creak, clang instead of voice) in audio chat (group chat). The problem exists when I use wireless headphones…"
"
      When opening a chat, the keyboard opens automatically if there is a draft with a link and link preview bar is visible
    ",- This is annoying because you need to close the keyboard again every time you switch chats. - It cannot be reproduced on iOS Steps to reproduce 1. Create a draft with a link with preview E.g. https://telegram.org/…
"
      My video calls are in grey scale
    ","When having a video call with my friend im always faced with the issue of a greyscale image, and the quality is very poor and pixelated, I have tried comparing with other services to see if my network…"
"
      In russian localization the word ""leave"" or similar is missing in confirmation popup message when leaving a group
    ","In russian localization the word ""leave"" (or similar) is missing in confirmation popup when trying to leave a group. Currently, the nessage says (translated version) ""Are you sure you want the group [group…"
"
      Style info is being pasted as plaintext
    ","When i paste text from a cell in Google Sheets, it includes the CSS info as plaintext before the text. For example, today's date in screenshot should produce: 17/01/22 but instead is producing: <!--td…"
"
      Animated stickers take up way too much cache.
    ","Animated stickers take up way too much space in really short time, like it'd take up 400-500mb of space after previewing 10-15 animated stickers. Steps to reproduce 1. Clear Telegram storage. 2. Preview…"
"
      Slow while loading messages
    ",When I open the app the messages take very slow to load. Never had this issue before. I use a cleaner to free up space but that doesn't change anything. Does anyone else have this issue? Steps to reproduce…
"
      Mute button distorts audio in group chats/meetings
    ","When I am in an audio or video group chat, if I mute my microphone all sound in the chat becomes distorted and unrecognisable. Steps to reproduce 1. Join a group audio or video chat 2. Mute microphone.…"
"
      Crash after last updates
    ",After the last two app updates every time I start Telegram it crashes and I have to try to restart it at least a couple of times and then it works. Steps to reproduce 1- Tap the icon on the smartphone…
"
      Keyboard doesn't pop up while opening image web search
    ","Keyboard doesn't pop up automatically when you open the image web search, forcing you to tap in the input field before starting to write. Steps to reproduce 1. Open any chat 2. Tap the paperclip to attach…"
"
      Incorrect string used in confirmation to join a group via invite link in WebZ
    ",Steps to reproduce 1. Click on an invite link of a group Current result member in the confirmation is written as subscriber Expected result member in the confirmation is written as member Device info…
"
      Keyboard does not close when opening the clip menu, the keyboard options still shows.
    ","When I open the menu for sending file, pictures etc. The keyboard does not close and the keyboard options is still open, making me unable to open press i.e. send. This only happens when I use ""navigation…"
"
      no audio messages
    ","When I try to play an audio message in a chat, there is no audio. Works in Telegram Web version K Steps to reproduce 1. Go to any chat with an audio message sent by the other person. 2. Try to reproduce…"
"
      Edited messages and previously draft messages
    ",See that video. First I sending 2 messages and editing this flow working fine. When I try to type something not sent that text then I click on already sented messages -> edit then just tap ok. I saw that…
"
      Caption of album in Pinned Message banner with spoiler formatting only covers 5 characters
    ",Steps to reproduce 1. Tap on the attachment icon 2. Attach 1 or more media 3. Add captions longer than 5 characters with spoiler formatting 4. Send the message as compressed 5. Tap on the message > Pin…
"
      small gifs
    ","Uploaded GIFs becoming very small and unreadable Steps to reproduce 1) Record a normal resolution (1920*1080) gif 2) Send it to any group, channel or personal chat Device info Telegram Desktop 3.4.8 x64…"
"
      Error in console when recieve TON address from recipient in TON Magic
    ","When I send a request to TON address nothing happens Steps to reproduce 1. Enable Ton Magic in chrome ton wallet 2. Click Send Toncoins 3. My recipient sends me message ""My TON address is: <TON ADDARESS>""…"
"
      Hi, when i try to upload video nothing happen why? i dont get any error and cant upload. also some videos uploaded as file.
    ","video upload problem nothing happen when try to upload video Steps to reproduce 3 Device info Telegram Web 1.30.9 Z, Firefox 96"
"
      Always on screen issue
    ",Steps to reproduce: 1. ipad 11 ios 15.2.1 2. Settings -> Screen -> Autolock -> Never 3. Lock screen 4. Make a call on this device 5. answer on a call from another device (for example from iphone/android/mac)…
"
      Fields ""title"" and ""performer"" are not working with InputMediaAudio and  sendMediaGroup when the files are supplied via link.
    ","Fields ""title"" and ""performer"" are ignored by sendMediaGroup when the files are supplied via link. It forces users to download files locally to get nice title, which is of course slower and more complicated…"
"
      ""Clear History"" in group on Android appears to delete for all members but deletes only for you
    ","When selecting ""Clear History"" on a (super)group you are admin of on Android, it appears as though you are clearing history of the chat for everyone. However this action only clears history for you. Either…"
"
      IMPOSSIBLE TO USE LOGIN BUTTON
    ","The login Button does not work with Telegram Web (both K or Z) Steps to reproduce 1.use a bot who sends a login button 2. click on it 3. Nothing happens Device info Telegram Web 1.0.5 K, Firefox 78"
"
      And for my next trick, disappearing ""Write a message...""
    ",Begin posting message.  Write message.  Select personal ID or channel ID to post from.  Select channel ID.  Post message to channel/group that does not allow posting under channel ID.  Message looks like…
"
      Telegram shows blank UI within Mailbird
    ","Telegram within Mailbird (multiple accounts mgr program) shows its window totally blank Steps to reproduce Hi, God bless you. I have installed MailBird (do easy to manage multiple programs accounts) The…"
"
      Custom keyboard covers entire screen
    ","Seems like custom keyboard is too sensitive to screen height, it's there a way to adjust sensitivity? It becomes unusable on Microsoft Surface Duo when in single screen mode. Steps to reproduce It takes…"
"
      Muted notification bug
    ",The problem is - I get always notified as I'm pinged in every message in the muted group. The problem appeared after 1.30 WebZ update and after my name got pinged once in that group. The interesting part…
"
      macOS scroll to bottom working different with other OS apps
    ","Scroll to bottom working incorrect or at least not like on Win and Android devices. If you have a lot of unread messages and when you open the chat and first unread message isn't visible, scroll to bottom…"
"
      before you could see behind the pinned messages and the typing bar when they are translucent, now you don't.(low visibility in chat)
    ","before you could see behind the pinned messages and the typing bar when they are translucent, now you don't. when you have the music player open + a pinned message that hides a part of the chat, plus…"
"
      Trying to react to a message when there is a in-app notification results in non-clickable reactions
    ","When there is an active in-app notification, trying to send a reaction to a message will result in you opening that chat from notification; reactions will be non-clickable Steps to reproduce 1. Get a…"
"
      Black screen bugs
    ",The screen turns black when entering recent channel and group activities Steps to reproduce The screen turns black when entering recent channel and group activities Device info Telegram Android 8.5.0…
"
      Time not working
    ","Except a Official message of Telegram , all other chat time is 1 hour behind . This will confuse all the web users. Steps to reproduce Go the any chat on web Version See the timings It is 1 hour late…"
"
      Theme colors in saved messages visual bug
    ",When I change theme colors in my saved messages it's also changes theme in settings but not fully — the bottom part does not change. Steps to reproduce 1. Change theme colors in your saved messages 2.…
"
      inline mode in user in k version
    ","Skip this step Steps to reproduce 1 search any id in web k version 2 now see Device info Telegram Web 1.0.6 K, Chrome 97"
"
      search engine can't find words between kanjis
    ","cannot find group and channel names that are enclosed in kanji Steps to reproduce . Device info Telegram Android 8.5.0 (25479), Huawei Mate 8, 7.0 N (24)"
"
      Very hard to type :P and :D emoticons
    ","When typing :p or :P, I have to be really careful to not type a random flag emoji instead... First after fixing the earlier bug I reported about this (when it instantly converted to a pen etc) this flag…"
"
      I cant use the new navigation bar
    ","I cant use the new feature called navigation bar Steps to reproduce When I press the back button from Telegram to select other chats, it doesn't work Device info Telegram Android 8.5.0 (25479), Samsung…"
"
      Jumping scroll in search results and disappearing selection
    ","Jumping scroll. Chrome; desktop; Open the group - /z/#-1034068795; Write in search panel WordPress ; Scroll several pages of search results; Leave cursor from the search results area, for example, to…"
"
      bug in bugs.telegram.org, popup hides when make click on gray overlay, typed text disappears
    ","bug in bugs.telegram.org, popup hides when make click on gray overlay, typed text disappears Steps to reproduce 1. Open popup to report a bug. 2. Click to gray overlay. 3. You just lost all the text you…"
"
      Bugs after rescheduling or editing messages
    ","When I edit any scheduled message in my public channels, there is bug I can not make any thing, should back to channel then come back to scheduled messages if I wanna write/edit/reschedule any message.…"
"
      Unicode symbols of chess pieces are inconsistent and are of the wrong color in the Inline Keyboard
    ","Unicode symbols for chess pieces in messages and in keyboards are inconsistent (black pawn seems to look like 3d image of black's pawn, while all other pieces looks similar to default font). If they are…"
"
      No sound video chats
    ","Since the last update, there is no sound in group voice chats. There is sound in group video chats. This happened yesterday and today. I go in a voice chat, go out, reatarted my phone, used 2 different…"
"
      Telegram web K - Hanged!!!!!!
    ",When I am sending multiple emojis then Stickers and then GIF then it telegram get hanged and can't able to send more GIF to send more GIF I need to switch to sticker then back to GIF. Steps to reproduce…
"
      Video Stickers don’t load with 'Loop Animated Stickers' option disabled
    ",Steps to reproduce 1. Go to Settings > Emoji and Stickers 2. Disable Loop Animated Stickers Current result The pack icon and the stickers of video sticker packs don't load. Expected result The pack icon…
"
      infinite scrolling bug; hard to reach buttons
    ","If I want to report a bug or suggestion, I can't get to the button normally because of this [words removed] infinite scrolling. I have to type in something wild, that won't get found and reach the bottom…"
"
      can't join groups if their name is too long
    ","I can't join groups if their name is too long, I can't even get to the options there. Steps to reproduce see above Device info Telegram WebK 1.0.5, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101…"
"
      [Visual] Unseen reactions button blinks on editing long messages
    ","When you edit a message with more than 5 lines, the unseen reaction button appears for a brief moment.  Steps to reproduce See the uploaded video  1. Send a message with more than 5 lines (either a normal…"
"
      File selection doesn't work - MacOS 10.12.6 - Telegram Desktop
    ",MacOS 10.12.6 - Telegram Desktop - after the last update it's not possible to select and upload a file anymore. The Finder windows appears for a second and closes directly. Steps to reproduce Choose any…
"
      Shared screen is not properly displayed on Android notepad: it's cropped or zoomed out.
    ",Shared screen is not properly displayed on Android notepad. Is it either cropped or very small. See photos: phone is a screensharing source. Same happens when sharing PC screen to notepad in landscape…
"
      Notifications do not come if the application is unloaded from RAM
    ","Telegram WebZ 1.31.4, MS Edge 97.0.1072. If the application is open in the background, as in screenshot number 5, everything is fine and notifications come. However, if you close it and remove it from…"
"
      Video chat zoom
    ","When on a one on one video chat, the image gets zoomed and pixilated if you change the screen rotation a couple times Steps to reproduce 1) start video chat 2) rotate device (usually a couple times) 3)…"
"
      Two visual bugs with reactions
    ","Vid: after reaction, ""🎉"" dissapears Pic: visual bug with text and reactions Posts language: russian Steps to reproduce Vid: 1. Go to https://t.me/readovkanews/25705 2. Try set ""🎉"" reaction 3. Profit!…"
"
      The application icon is not correctly displayed in the notification center.
    ","Instead of a normal application icon, a white dot appears in the notification center and status bar. This is not convenient. Steps to reproduce 1. Wait for the notification to arrive. 2. Instead of a…"
"
      Multiple crash with Android 4.4.4
    ","Hello, I have already opened a report on January 19, 2022 regarding a bug: https://bugs.telegram.org/c/13786 In the meantime, there have been further updates of the app but the problem has remained, indeed…"
"
      Web and phone syncing nor working properly
    ",There appears to be no syncing of the Web Telegram with the phone app. I do a few operations on the phone that the Web one doesn't sync with like deleting a chat thread. Steps to reproduce 1. Open Telegram…
"
      The bug where the phone is locked and or telegram is not the active app and the media is still playing–somtimes even while in the app and not on that media– needs to be fixed.
    ",The bug where the phone is locked and or telegram is not the active app and the media is still playing–somtimes even while in the app and not on that media– needs to be fixed. Steps to reproduce You are…
"
      search does not work like it should
    ","search does not work like it should Steps to reproduce search bar not working like it should Device info Telegram iOS 8.5.1 (22882), iPhone XS, 15.2"
"
      I can’t subscribe to a group if their name is too long
    ",When I see a channel I want to subscribe to - if they have a long name - the Submit button is too far to the right (out of sight) and you can’t click on it. Therefore you cannot follow the channel. Steps…
"
      Telegram Desktop can't keep me signed id. The checkbox in the authentication page remains disabled no matter what I do.
    ","Telegram desktop signs me out and does not keep me signed in. In the authentication page I can't check the checkbox ""Keep me signed in"" because it is always disabled. Steps to reproduce 1. Sign out 2.…"
"
      Telegram keeps logging out
    ",I have 3 different account on my iPhone and occasionally they log out (all of them at the same time).I have 2FA enabled.I checked my sessions and everything looks fine.This also happened with the previous…
"
      Telegram hangs when trying to forward message
    ","Telegram stops reacting to click after I try to forward message Steps to reproduce - Right click message - Select ""forward to"" - Select chat to forward - Telegram hangs. It does not react to clicks or…"
"
      ESC not hiding chat when browser window is snapped to the screen
    ","When the browser window is snapped to the screen (half screen), the ESC button does not hide the chat Steps to reproduce 1. Snap browser window to one of the sides 2. Open a chat 3. Try to close with…"
"
      Telegram exports only 2 years of chat message history
    ",Exporting chat with following settings - from the oldest to the present exports only 795 days of chat history at max. I tested it with several accounts and results are the same. If you navigate in the…
"
      Group video chat notification broken
    ","Wrong links in the group videochat notification. When videochat is active and ""video chat"" link is active, it contains wrong hrefs in this way: PROFILE_0 forwards to videochat, PROFILE_1 forwards to PROFILE_2…"
"
      Bottom buttons don't work when keyboard appeared
    ","When I want to add/delete stickers, or press any button on bottom when keyboard appeared, not possible Steps to reproduce 1. Open any chat 2. Click to text field (need to keyboard shows) 3. Go to ""shedule…"
"
      Sometimes some content in chats, channels, or groups won't load.
    ","I don't know what this has to do with or depends on. Sometimes completely different content refuses to load. In the screenshots, you can see that in one case it's a preview of the link to YouTube, in…"
"
      Gifs have a yellow tint
    ","Steps to reproduce Open the gifs panel and compare the same gifs on another platform Device info Telegram Android 8.5.1 (25519), Samsung Galaxy Note10 Lite, 12 S? (31)"
"
      no sound everywhere except for calls
    ",No sound everywhere except on calls after the first audio/video playback Telegram Desktop v3.5.1 (Windows 10) Steps to reproduce 1. Launch the Telegram Desktop app 2. Play any audio message or video 3.…
"
      Long audio files are not reproduced completely (only 12 seconds)
    ","Steps to reproduce 1. Get a long audio file (around 200 MB, more than 7 hours) 2. Tap over he file to reproduce it Current result Only 12 seconds of that audio file are reproduced Expected result All…"
"
      Issue when typing ""@""
    ","When I typing ""@"", Its not happen. I inspect (f12) then I see log error as a screenshot: Steps to reproduce 4 Device info Telegram Web 1.1.0 K, Chrome 98"
"
      Shown the name and count of members of a group in which I am not a member.
    ",Shown the name and count of members of a group in which I am not a member. Steps to reproduce Problem: Shown the name and count of members of a group in which I am not a member. Preconditions: Add any…
"
      WebZ is not using the full display width even in 1.33.2 version
    ","I saw this problem already covered in the April 16, 2021, review (https://bugs.telegram.org/c/4142), but it looks like I still have it - see screenshot. Steps to reproduce 1. Log into your account. 2.…"
"
      doesn't stay connected in web version, posts wont publish, cant edit posts
    ","doesn't stay connected well in web version. constantly have to get re-connected, posts hang and wont publish in web version, cant edit posts in webversion Steps to reproduce doesn't stay connected well…"
"
      Video playback with intermittent noise
    ","When playing any video in the desktop version of Telegram, the video plays with intermittent noise. Reinstalling does not solve the problem. The same in Mac safe mode Steps to reproduce 1. I go to any…"
"
      Reaction mark still showing when Marking group as read
    ",Reaction mark still showing when Marking group as read Steps to reproduce Select any group that you have new reaction mark Mark as read Still showing reaction mark (red heart) Device info Telegram Android…
"
      Phone number links (and others too) become not clickable when re-entering chat
    ","Bugged cases i found, related to this problem: 1. Send somebody (yourself for example) this message: ""+7 910 111 22 33"", this is russian phone number, and it will be recognized as a link on both platforms…"
"
      App crashes when sending GIFs that you previously saved from a Secret Chat
    ","When you send a GIF that you previously saved from a secret chat, the app crashes.  Steps to reproduce 1. Start a secret chat with any users 2. Receive a GIF 3. Open the GIF you received > Tap on three…"
"
      Telegram paste a link to the image when you cancel sending a pasted one
    ","When you cancel sending a pasted image, it automatically paste a link to the image. Is it really should work this way? Steps to reproduce When you cancel sending a pasted image, it should just cancel…"
"
      Web sessions cannot be ended even from the main device and are stuck forever.
    ",When I try to end all other sessions from the phone (the first and the main device) app tells that it cannot be done from a new device. Tries to end sessions from the Web app doesn't do anything either.…
"
      when i send a message to a friend on telegram, suddenly the message is not sent at all, i see a clock icon in the chat bubble, also in the group, even though i didn't do anything, how is that possible
    ","when i send a message to a friend on telegram, suddenly the message is not sent at all, i see a clock icon in the chat bubble, also in the group, even though i didn't do anything, how is that possible…"
"
      Sync bug web.telegram and telegram app
    ","When I wrote a message in the web.telegram that message was a synced to my phone. After that, I added an emoji to this message on my phone and sent it. The problem is that in the web.telegram my message…"
"
      You can't remove the channel invite link that the bot created. The menu looks like an error, because when you click on the button, nothing happens
    ","You can't remove the channel invite link that the bot created. The menu looks like an error, because when you click on the button, nothing happens Steps to reproduce 1. Go to channel administration 2.…"
"
      File Attachment Bug - Window shuts without allowing users chance to attach file.
    ","Unable to attach any files or media in a chat window. When you click the paperclip attachment icon, the window pops up for a second and shuts immediately without allowing users a chance to select any…"
"
      Calls systematically disconnect on Android a short while (~2 min) after screen is locked.
    ",Calls systematically disconnect on Android a short while (~2 min) after screen is locked.  The call doesn't drop but is temporarily disconnected (beep sound) as if the connection were interrupted. As…
"
      Sometimes blocked people don't always show up as ""a long time ago""
    ","When someone has me blocked, it doesn't always show their last seen time as ""a long time ago"" Steps to reproduce 1.  piss someone off 2.  get blocked 3.  wait awhile 4.  eventually the last seen timestamp…"
"
      Gpay (Google Pay) does not work with Stripe via Bot Payments API
    ","While trying Stripe payment in TEST mode, I have GPay button, but in LIVE mode there is no such a button Steps to reproduce 1. Create an Invoice using Stripe TEST payment provider 2. Try to pay with the…"
"
      Quick reaction automatically appears on previous message in Telegram chat
    ","When I put a quick reaction (thumb up) to the last received message, this quick reaction also appears on previous message. Steps to reproduce 1. Open Telegram Web (alpha 1.1.1) in Edge browser 2. Open…"
"
      When two people type together in Telegram Desktop macOS the ""is typing..."" text disappears
    ","When two people type together, the ""is typing..."" text will disappear. Steps to reproduce 1. Go to any group 2. Ask two people to type at the same time 3. It will show who is typing like usual but the…"
"
      texto predictivo
    ","cuando trato de escribir algun texto en la version web cambia rapido, no se si es por texto predictivo o si la pagina asume que escribo en otro idioma y lo traduce Steps to reproduce 1. go to any chat…"
"
      migrated to other chat
    ","that migrated to other chat can't be delete, after delete always exixst again Steps to reproduce can't be delete so annoying Device info Telegram Desktop 3.5.1, H81MHV3, Windows 10"
"
      the option ""it doesn't depend on the app"" is missing
    ","If someone wants to report a general bug in the bug tracker, the option ""it doesn't depend on the app"" is missing. Steps to reproduce 1. Try to report a general bug. 2. You see that the option ""it doesn't…"
"
      Incorrect display of function names in the message context menu
    ","Incorrect display of function names in the message context menu and report menu Steps to reproduce 1. go to any chat 2. press rigth button mouse on any message Device info Telegram Web 1.34.2 Z, Chrome…"
"
      [Secret Chats] Video stickers aren’t automatically deleted when the timer expires
    ",Steps to reproduce 1. Start a secret chat with any user > Enable the timer to auto-delete messages 2. Send or receive some video stickers 3. Wait until the timer expires Current result The video stickers…
"
      MacOSX doesn't have automatically translation in messages.
    ",Telegram MacOSX doesn't have the option to translate messages automatically as cellphones do! Steps to reproduce 1. Select the text 2. Click with right trackpad buttom 3. it doesn't shows translation…
"
      App automatically discards voice messages when you try to send them
    ","Steps to reproduce 1. In any chat hold the microphone icon to record a voice message 2. Send the the voice message Current result The voice message gets discarded, you won't be able to send it anymore.…"
"
      Can't forward sticker
    ","I can't forward sticker in web version Steps to reproduce 1. Go to any chat 2. Select message with sent sticker 3. Click ""Forward"" 4. Select any chat 5. You can't send message, so type any text and send…"
"
      Media upload stuck at 0%
    ",When I try to send a video it is stuck at 0% Steps to reproduce 1. Go to any public group 2. Tap on the paperclip icon 3: Select a video and tap send 4. The video is stuck a 0% Device info Telegram Web…
"
      Call window frame on Telegram Desktop (Windows) does not follow system style, even if specified so in settings
    ","Call window frame on Telegram Desktop (Windows) does not follow native system style, even while enabled such behaviour in settings for main Telegram frame. Maybe, make them for both? Steps to reproduce…"
"
      update notifcations are always unread
    ","When Telegram Web K gets updated, I receive a service notification message for the update. This message won't get marked as read and once I reload Web K the message completely disappears. Steps to reproduce…"
"
      Chats removed from the selection mode !
    ","Hello When I delete some of my chats, Telegram shows the message of returning chats and at the same time I select a few more chats. The problem is that when the deadline for returning the previous chats…"
"
      can't delete chats with deleted accounts
    ","I can't delete chats from deleted accounts. The dialog to choose if the chat shall be deleted on both ends appears and reacts normally, but there isn't anything happening afterwards. Steps to reproduce…"
"
      Messages of specific dates from all my chats get automatically deleted
    ",Hi. My messages in private chats get automatically deleted. For example all my messages from November 30 2021 until January 27 2022 have been deleted and I can't see them. The other parties of the chats…
"
      SECURITY & PRIVACY FLAW: Content will became visibile from task switcher after entering in a group or a channel with ""Restrict saving content"" on
    ","When I deactivate ""Show App Content in Task Switcher"" the content will be normally hided from task switcher. But, if I go in any channel or a grup with ""Restrict saving content"" on, when I go back Telegram…"
"
      Scheduled messages not being sent
    ","As you can see on the screenshot... Today is Feb 26 and I have unsent messages in my saved messages for Feb 22... this si not the first time it happens. I notice when I remember casually something, and…"
"
      Leave comment button broken
    ","Leave comment button moved and no style Steps to reproduce 1. Go to a channel with open comments 2. See the bug Device info Telegram Web 1.2.0 K, Opera 83"
"
      .life domain unclickable
    ",.life domain unclickable. At the same time 2ch.hk and vk.com is clickable. Steps to reproduce 1. Go to https://t.me/dvachannel 2. Open channel description 3. You can't click on 2ch.life domain Same issue…
"
      Media sharing bug in Official Telegram.
    ","can't share any media on Telegram Vanilla unless uncompressed. Steps to reproduce 1. Go to any chat, 2. Open attachments menu 3. Select any photo or video available, or take a new one using in-app camera.…"
"
      Still receive notification from a group that ban you.
    ",Got added to a group by a scammer and then banned immediately. I still receive notification and when I click that notification I see that message. Can't do anything about it since I am not in that group…
"
      Scheduled posts in a channel always ring even when I have setted not to notify subscribers
    ",step 1: I am an admin of a channel and I muted posts to not notify subscribers when is send (blocking the ring icon) 2. I scheduled a post to be sent at an specific hour 3. At that hour when post is sent…
"
      Entering the app for the first time, click the camera to take a photo or album photo but no response.
    ","Entering the app for the first time, click the camera to take a photo or album photo but no response. Steps to reproduce 1.Launch and log in to the app for the first time. 2.Click ""Set Profile Photo""…"
"
      no error message if a user doesn't allow invite
    ","If you want to invite someone to a group*, you don't get an error message if it doesn't work because the user doesn't want that. Afair that's not the only error message that's missing in WebK. *either…"
"
      options to kick a member don't appear
    ","I can't get in the group member options in WebK. So I can't make members to an admin, kick them aso. When I click right, I just get the normal browser dialogue Steps to reproduce 1. Try to make a member…"
"
      Video quality error (album)
    ","- If you press the paperclip button and  you select one or more videos with a native resolution of 1080p, they are compressed by default to 720p (not real a 720p, videos are pixelated). - if you select…"
"
      Forwarding options are not displayed if forward a message to multiple recipients
    ","When I forward a message to multiple recipients by selecting them in the list, I can't change forwarding options (e.g. Show/Hide Sender's Name or Show/Hide Captions). The menu with those options just…"
"
      Do not interpret markdown inside code block
    ","Markdown is interpreted inside code blocks, ruining the code. In this case ""||"" was removed from initial code. TDesktop processes it correctly, not creating a spoiler inside Monospace. Steps to reproduce…"
"
      Pinned messages in unread folder don't get disappeared from unread folder after reading them and unpinning them
    ","Hi, I pinned some chats in unread folder to answer those firsrt. After some days when I answered them I unpinned them. But although they have been read but they still exist in the unread folder... So…"
"
      Some image urls Telegram can't recognize. Can you check the reason?
    ","Telegram server can't recognize some images. Tried via client and via Bot. Bot returns ""telegram.error.BadRequest: Group send failed"". Source server the same. Sample of recognizable image: https://pb…"
"
      Reply count icon is not displayed when navigating from search results in a group
    ",Steps to reproduce Note: Make sure to search messages with replies. 1. Click in the Search field and enter a search term 2. Click on the message found in the left panel to display it on the right Current…
"
      Failed to deliver ""/start"" message on restart
    ","When I stop the bot, and after that click ""restart"", sometimes, telegram fails to deliver the first message. After hitting ""retry"" on the ""/start"" message the flow continues as expected. Please see attached…"
"
      Voice messages cut via front speaker
    ",If I play a voice message with ear speaker (no bottom speaker) then it cuts before it ends completely. If I have multiple messages: - the former follow this bug - the other ones are ok. This happens only…
"
      Crackling input audio device in group voice chats on 44.1khz sound card mode
    ","when i'm talking in group voicechat using 44.1khz on any soundcard, other participators hears my sound cracked Steps to reproduce 1. set 44.1khz in your sound card setting both for input and output device…"
"
      telegram desktop cant be opened while being in a teamviewer session
    ","When someone is viewing my screen with TeamViewer, the Telegram Desktop window disappears after a while. I can still see the entry in the taks bar but even if I click on it the window doesnt show. When…"
"
      Upstream display bug
    ","There is a display bug in voice chats, if a user was in and leaves it results in (it doesn't always happen) (upstream display bug). Reproduced in v8.5.4 2566 there are same bug in TDesktop beta. Steps…"
"
      Deleted Account chat cannot be closed or deleted.
    ","A bug with deleted account chat, if before deletion there was some draft TEXT (in input text field). So this chat always returns after refreshing the page. And the draft text cannot be deleted. Steps…"
"
      custom Keyboard isn't visible
    ","The custom Keyboard in WebZ is only shown in direct chats. In group Chats the Keyboard is missing. iOS, WebK and Windows Client are working well. Any suggestions? Bot Scripted with nodered: var opts =…"
"
      Mirrored video in voicechats w/ video
    ",Mirrored video in voicechats w/ video in TDesktop Steps to reproduce In Voicechats video screen is not mirrored compare to iOS or macOS. Seems the same problem in direct video calls Device info Telegram…
"
      Turn on translations
    ","I am unable to turn on translations. Steps to reproduce I go to settings then to language and there is no way to turn on translation. Device info Telegram Web 1.37.1 Z, Safari 15.3"
